Fuel Type Code,Station Name,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude
ELEC,LADWP - Central District,,21,,34.033898,-118.256673
ELEC,LADWP - Lincoln Heights District,,67,,34.081998,-118.21713
ELEC,LADWP - Receiving Station C,,2,,33.799476,-118.257977
ELEC,LADWP - Valley Center Admin Lot,,56,1,34.208708,-118.444358
ELEC,LADWP - Valley Generating Station,,17,,34.241928,-118.390147
ELEC,City of Lacey - City Hall Parking,,4,,47.044011,-122.822404
ELEC,Oregon Museum of Science and Industry (OMSI) - South Parking Lot,2,2,,45.508396,-122.664667
ELEC,City of Ukiah - Public Parking Lot,,1,,39.15,-123.2091
ELEC,Nut Tree Village,1,1,,38.368755,-121.961192
ELEC,Placer County Community Development Resource Center,,3,,38.9412492,-121.1054805
ELEC,4th and G Plaza Public Parking Garage,,2,,38.54643,-121.7388
ELEC,Davis Amtrak Station,,2,,38.5443,-121.738
ELEC,University of California - Davis - Quad Parking Structure,2,7,,38.544538,-121.749713
ELEC,University Covenant Church,,1,,38.55755,-121.6947
ELEC,Wildhorse Golf Club,,2,,38.569412,-121.721373
ELEC,Lakewood Center Mall,,2,,33.84788,-118.13889
ELEC,Golden Gate Ferry Terminal,,1,,37.94495,-122.5096
ELEC,Oakland International Airport - Daily Lot,,2,,37.7136,-122.2087
ELEC,City of Champaign - Hill Street Parking Deck,,4,,40.119161,-88.244185
ELEC,Discovery Center of Idaho,,2,,43.608009,-116.197968
ELEC,Nike - LA Garage,,6,,45.508795,-122.8249
ELEC,Fairfield Transportation Center,,2,,38.2482,-122.0678
ELEC,San Francisco City Hall,,1,,37.77913,-122.418
ELEC,LINCOLN CITY TAFT DUAL 1,,2,,44.928439,-124.015824
ELEC,OUC RELIABLE 01,,2,,28.535975,-81.379663
ELEC,MGE WILLY ST E,,2,,43.083979,-89.363091
ELEC,LBCC  LBCC DUAL 2,,2,,44.586123,-123.115389
ELEC,OEG,,1,,45.545898,-122.707102
ELEC,Home Depot,,2,,35.249929,-120.689683
ELEC,San Luis Obispo Promenade - Bed Bath & Beyond,,4,,35.25982,-120.676
ELEC,New York State Energy Research Development Authority - Headquarters,1,7,,42.702424,-73.857693
ELEC,Avista Corp,1,2,,47.673347,-117.388933
ELEC,Steam Plant Grill,,4,,47.654998,-117.425025
ELEC,Kum & Go #4110,,1,,41.615759,-93.57875
ELEC,Kum & Go #570,,1,,41.682385,-93.698315
ELEC,TUCSON RENTAL OFF NETWORK 1,1,1,,32.236156,-110.781792
ELEC,Element Hotels - Ewing,,1,,40.286518,-74.807516
ELEC,Lane Community College,10,10,,44.009797,-123.033213
ELEC,BROOKFIELD PROP 300 CLAY STAT1,,2,,29.756604,-95.372854
ELEC,Goleta Mechanics Bank,,1,,34.44198,-119.829553
ELEC,INTERPARK 50 EAST OHIO 2,1,1,,41.892757,-87.626038
ELEC,City of Spartanburg - Municipal Parking Garage,,2,,34.950136,-81.93279
ELEC,City of Spartanburg - Municipal Parking Garage,,2,,34.951926,-81.931714
ELEC,City of Union Town Hall,,2,,34.715982,-81.624616
ELEC,Whole Foods Market,,2,,41.157925,-73.240315
ELEC,Propark America - Omni Hotel Chapel Square Garage,2,2,,41.305794,-72.927405
ELEC,City of New Haven - Air Rights Garage,,5,,41.305265,-72.934141
ELEC,City of New Haven - Temple Street Garage,,3,,41.304245,-72.928369
